chiave,etichetta,slug,n_dataset,media,pct,mediana,min,max,rating,n_excellent,n_bad,n_publisher
829778e5-41d8-465f-bf50-06ff8deb0245,Comune di Grassobbio,comune-di-grassobbio,3,355.0,87.65,355,355,355,Excellent,3,0,1
ac8db934-572c-4e68-b00c-2fc3d8a29050,Ispra,ispra,10,355.0,87.65,355,355,355,Excellent,10,0,1
d9b9e2b5-b8ab-4ee6-b2a0-7a710762c60a,Comune di Torremaggiore,comune-di-torremaggiore,1,355.0,87.65,355,355,355,Excellent,1,0,1
123b513b-62c4-4496-b5a1-0372ef6311c6,Comune di Policoro,comune-di-policoro,11,355.0,87.65,355,355,355,Excellent,11,0,1
bab3f5ff-6683-4d89-a008-b63dc0d8a3d9,Istituto Universitario di Studi Superiori di Pavia,istituto-universitario-di-studi-superiori-di-pavia,10,355.0,87.65,355,355,355,Excellent,10,0,1
3fdcdae0-c903-46bf-8555-c254f71cbecc,Azienda Socio Sanitaria Territoriale di Lecco,azienda-socio-sanitaria-territoriale-di-lecco,10,355.0,87.65,355,355,355,Excellent,10,0,1
3f34dfc3-ecb9-4495-be5b-5b50b1090f05,Universita degli Studi di Palermo,universita-degli-studi-di-palermo,19,355.0,87.65,355,355,355,Excellent,19,0,1
3acc744c-1499-4f62-bcee-0a7fb623ba8c,Comune di Coriano,comune-di-coriano,8,355.0,87.65,355,355,355,Excellent,8,0,1
8d8c41d3-a539-4f08-b489-a7fed178846a,Comune di Tortoreto,comune-di-tortoreto,7,355.0,87.65,355,355,355,Excellent,7,0,1
9109e13d-e845-43b7-aed3-916043efe653,Regione Liguria,regione-liguria,19,355.0,87.65,355,355,355,Excellent,19,0,1
9c0f897a-b9fe-4c59-a533-33a809d5bf2d,Comune di Cingoli,comune-di-cingoli,1,355.0,87.65,355,355,355,Excellent,1,0,1
ccbf9a69-462f-4d0d-9862-2158f7ff3f03,Comune di Salle,comune-di-salle,1,355.0,87.65,355,355,355,Excellent,1,0,1
53290502-f70e-43fc-9378-bab36bb0f55c,Provincia di Padova,provincia-di-padova,10,355.0,87.65,355,355,355,Excellent,10,0,1
ec0c9c44-fe90-47b1-bd88-2b9dc57bd25e,Comune di Albisola Superiore,comune-di-albisola-superiore,2,355.0,87.65,355,355,355,Excellent,2,0,1
2faa23b0-90ad-49f2-998e-003f6100e279,Universita di Bari,universita-di-bari,105,355.0,87.65,355,355,355,Excellent,105,0,1
24f39537-efc7-4c06-bb10-efd2d2f27ac3,Camera di Commercio delle Marche,camera-di-commercio-delle-marche,65,355.0,87.65,355,355,355,Excellent,65,0,1
55388ac0-2be8-4f1f-90f7-8a9b212eb593,Boxxapps,boxxapps,719,355.0,87.65,355,355,355,Excellent,719,0,73
54503213-4f23-4c39-ba5f-c0b0bb78f900,Ministero del Turismo,ministero-del-turismo,16,355.0,87.65,355,355,355,Excellent,16,0,1
5276bffc-0ff5-4c75-820d-169c895fd149,Istituto Superiore di Sanita,istituto-superiore-di-sanita,13,355.0,87.65,355,355,355,Excellent,13,0,1
f54588ab-46a1-4c1b-8fcc-f4c5fbc830d2,Fondazione Restart,fondazione-restart,10,355.0,87.65,355,355,355,Excellent,10,0,1
f0fff560-469a-42b7-b17d-21853d107bce,Cnit Consorzio Nazionale Interuniversitario per le Telecomunicazioni,cnit-consorzio-nazionale-interuniversitario-per-le-telecomunicazioni,10,355.0,87.65,355,355,355,Excellent,10,0,1
a9642632-cc67-477f-b66d-437a4fb7e03d,ATS Citta Metropolitana di Milano,ats-citta-metropolitana-di-milano,10,355.0,87.65,355,355,355,Excellent,10,0,1
8b8cf2d9-cb93-4c83-b7ef-af40d0669369,Aspal Agenzia Sarda per le Politiche Attive del Lavoro,aspal-agenzia-sarda-per-le-politiche-attive-del-lavoro,15,355.0,87.65,355,355,355,Excellent,15,0,1
a1c6b7a1-4093-438f-a94b-e8e55b598cff,Universita degli Studi di Camerino,universita-degli-studi-di-camerino,10,355.0,87.65,355,355,355,Excellent,10,0,1
3954d7c6-fc2b-4dd1-aebf-e336a0e63b64,Azienda Socio Sanitaria Territoriale Lariana,azienda-socio-sanitaria-territoriale-lariana,16,355.0,87.65,355,355,355,Excellent,16,0,1
3daa7d70-c6f4-405e-8237-8ed37535ae08,Comune di Olgiate Olona,comune-di-olgiate-olona,5,355.0,87.65,355,355,355,Excellent,5,0,1
e5916554-888e-48fa-8086-c3a5c720639f,Comune di Forte dei Marmi,comune-di-forte-dei-marmi,1,355.0,87.65,355,355,355,Excellent,1,0,1
8daf7621-05b2-4f9e-8c12-f485eb388d61,ATS della Montagna,ats-della-montagna,10,355.0,87.65,355,355,355,Excellent,10,0,1
4f460e94-efa3-4855-9fbe-7f289fba8f90,Comune di Vittoria,comune-di-vittoria,5,355.0,87.65,355,355,355,Excellent,5,0,1
76e0a090-f08c-4ff6-bdd6-bb8c258c5731,Comune di Bitritto,comune-di-bitritto,5,355.0,87.65,355,355,355,Excellent,5,0,1
cf2d76c3-7883-4391-8002-dcba5c1dbdb0,Comune di Fonte Nuova,comune-di-fonte-nuova,5,355.0,87.65,355,355,355,Excellent,5,0,1
b5ce8c17-eae1-4b21-b9e9-4ca66c9a59c0,Istituto Zooprofilattico Sperimentale dell'Umbria e delle Marche Togo Rosati,istituto-zooprofilattico-sperimentale-dell-umbria-e-delle-marche-togo-rosati,10,355.0,87.65,355,355,355,Excellent,10,0,1
